COMPANY,EVENT,SYSTEM NAME,START DATE,END DATE,APP TYPE,EVENT STATUS,POWERED ON,CLUSTER NAME,ARCHIVED
Oracle,Open World 2014 - A & C,oracle:oowac2014,2014-09-28,2014-10-02,MST_2,DORMANT,2014-06-09,DORMANT01,NO
Oracle,OpenWorld 2014 - CGBU,oracle:oowcgbu2014,2014-09-28,2014-10-02,MST_2,DORMANT,2014-06-09,DORMANT01,NO
Cisco,Interop NY 2014,cisco:interopny2014,2014-10-01,2014-10-02,AST_3,DORMANT,2014-08-14,DORMANT01,NO
EMC Isilon,Global Gaming Expo (G2E) 2014,emcisilon:g2e2014,2014-09-30,2014-10-02,AST_3,DORMANT,2014-08-27,DORMANT01,NO
Cisco,Oracle Open World 2014,cisco:oow2014,2014-09-29,2014-10-02,AST_3,DORMANT,2014-09-10,DORMANT01,NO
Dell,Oracle Open World 2014,dell:oow2014,2014-09-28,2014-10-02,AST_3,DORMANT,2014-09-19,DORMANT01,NO
Informatica,Oracle Open World 2014,informatica:openworld2014,2014-09-28,2014-10-02,AST_3,DORMANT,2014-08-25,DORMANT01,NO
Nuance,AHIMA 2014,nuance:ahima2014,2014-09-27,2014-10-02,AST_3,DORMANT,2014-08-26,DORMANT01,NO
NetApp,Oracle Open World | Meet the Engineer,netapp:engoracleworld2014,2014-09-29,2014-10-01,MST_2,DORMANT,2014-07-22,DORMANT01,NO
EMC Isilon,ASIS 2014,emcisilon:asis2014,2014-09-29,2014-10-01,AST_3,DORMANT,2014-07-30,DORMANT01,NO
NetApp,Oracle Open World | Meet the Executive,netapp:execoracleworld2014,2014-09-29,2014-10-01,AST_3,DORMANT,2014-07-22,DORMANT01,NO
Cisco,SCTE Cable-Tec Expo 2014,cisco:scte2014,2014-09-22,2014-09-25,AST_3,DORMANT,2014-07-10,DORMANT01,NO
Step,STEP Conference 2014,step:step2014,2014-09-23,2014-09-24,AST_SMT,DORMANT,2014-08-21,DORMANT01,NO
EMC Isilon,HETT 2014,emcisilon:hett2014,2014-09-24,2014-09-24,AST_3,DORMANT,2014-08-27,DORMANT01,NO
Marvell,IBC 2014,marvell:ibc2014,2014-09-12,2014-09-16,AST_3,DORMANT,2014-08-05,DORMANT01,NO
Dolby,IBC 2014,dolby:ibc2014,2014-09-12,2014-09-16,AST_3,DORMANT,2014-07-28,DORMANT01,NO
Cisco,IBC 2014,cisco:ibc2014,2014-09-12,2014-09-16,AST_3,DORMANT,2014-07-24,DORMANT01,NO
EMC Isilon,Meeting Request IBC 2014,emcisilon:meetingrequestibc2014,2014-09-12,2014-09-16,AST_3,DORMANT,2014-07-16,DORMANT01,NO
Imagine Communications,IBC 2014,imaginecommunications:ibc2014,2014-09-12,2014-09-16,AST_3,DORMANT,2014-07-14,DORMANT01,NO
EMC Isilon,IBC 2014,emcisilon:ibc2014,2014-09-12,2014-09-16,AST_3,DORMANT,2014-07-08,DORMANT01,NO
